temperature,humidity,voltage,current,vibration
34.2,48.4,8.26103,0.12349,0.9381
34.2,48.4,8.92294,0.12349,0.9381
34.2,48.4,8.92294,0.12349,0.93219
34.2,48.4,8.92294,0.11693,0.93219
33.7,48.2,8.92294,0.11693,0.93219
33.7,48.2,0.0,0.0,0.93219
33.9,49.3,0.0,0.0,0.93219
33.9,49.3,6.78166,0.0,0.93219
33.9,49.3,6.78166,0.0,0.93219
34.0,49.1,6.78166,0.0,0.93219
34.0,49.1,5.96707,0.16971,0.93219
34.0,49.0,5.96707,0.16971,0.93219
34.0,49.0,6.09011,0.16971,0.93219
34.0,49.0,6.09011,0.0,0.93219
34.0,49.0,6.09011,0.0,0.93219
34.0,49.0,0.0,0.0,0.93219
34.0,48.9,0.0,0.0,0.93219
34.0,48.9,8.43871,0.0,0.93219
34.0,48.9,8.43871,0.0,0.93219
34.0,48.9,8.43871,0.0,0.93219
34.0,48.9,0.0,0.0,0.93219
34.0,48.9,0.0,0.0,0.93219
34.0,48.9,2.2238,0.0,0.93219
34.0,48.9,2.2238,0.0,0.93219
34.0,48.9,2.2238,0.0,0.93219
34.0,48.9,0.0,0.0,0.93219
34.1,49.0,0.0,0.0,0.93219
34.1,49.0,3.37255,0.0,0.93219
34.1,49.0,3.37255,0.0,0.93219
34.1,48.9,3.37255,0.0,0.93219
34.1,48.9,0.0,0.0,0.93219
34.1,48.9,0.0,0.0,0.93219
34.1,48.9,0.0,0.0,0.93219
34.1,48.9,0.0,0.0,0.93219
34.1,48.8,0.0,0.0,0.93219
34.1,48.8,6.81803,0.0,0.93219
34.2,48.9,6.81803,0.0,0.93219
34.2,48.9,4.55742,0.0,0.93219
34.2,48.8,4.55742,0.0,0.93219
34.2,48.8,4.16034,0.0,0.93219
34.2,48.8,4.16034,0.05431,0.93219
34.3,48.6,4.16034,0.05431,0.93219
34.3,48.6,4.44759,0.0,0.93219
34.3,48.6,4.44759,0.0,0.93219
34.3,48.6,2.63123,0.0,0.93219
34.3,48.5,2.63123,0.0,0.93219
34.3,48.5,4.87209,0.0,0.93219
34.3,48.5,4.87209,0.0,0.93219
34.3,48.5,4.39164,0.0,0.93219
34.3,48.5,4.39164,0.06367,0.93219
34.3,48.5,4.39164,0.06367,0.93219
34.3,48.5,4.21935,0.06367,0.93219
34.3,48.5,4.21935,0.0,0.93219
34.4,48.4,4.21935,0.0,0.93219
34.4,48.4,4.66467,0.0,0.93219
34.4,48.4,4.66467,0.08302,0.93219
34.4,48.4,4.66467,0.08302,0.93219
34.4,48.4,4.03972,0.08302,0.93219
34.4,48.4,4.03972,0.06783,0.93219
34.4,48.4,4.03972,0.06783,0.93219
34.4,48.4,3.29842,0.06783,0.93219
34.4,48.4,3.29842,0.05849,0.93219
34.4,48.3,3.29842,0.05849,0.93219
34.4,48.3,0.0,0.05849,0.93219
34.4,48.3,0.0,0.0,0.93219
34.4,48.3,0.0,0.0,0.93219
34.4,48.3,0.0,0.0,0.93219
34.4,48.3,0.0,0.0,0.93219
34.4,48.2,0.0,0.0,0.93219
34.4,48.2,0.0,0.0,0.93219
34.4,48.2,0.0,0.0,0.93219
34.4,48.2,0.0,0.0,0.93219
34.4,48.2,0.0,0.0,0.93219
34.4,48.2,0.0,0.0,0.93219
34.3,48.2,0.0,0.0,0.93219
34.3,48.2,5.21526,0.0,0.93219
34.3,48.2,5.21526,0.12365,0.93219
34.4,48.2,5.21526,0.12365,0.93219
34.4,48.2,5.84143,0.12365,0.93219
34.4,48.2,5.84143,0.07664,0.93219
34.3,48.2,5.84143,0.07664,0.93219
34.3,48.2,4.55742,0.07664,0.93219
34.3,48.2,4.55742,0.0,0.93219
34.3,48.2,4.55742,0.0,0.93219
34.3,48.2,2.98353,0.0,0.93219
34.3,48.2,2.98353,0.0,0.93219
34.3,48.1,2.98353,0.0,0.93219
34.3,48.1,4.87209,0.0,0.93219
34.3,48.1,4.87209,0.06402,0.93219
34.4,48.1,4.87209,0.06402,0.93219
34.4,48.1,4.97256,0.06402,0.93219
34.4,48.1,4.97256,0.09579,0.93219
34.4,48.2,4.97256,0.09579,0.93219
34.4,48.2,5.16763,0.09579,0.93219
34.4,48.2,5.16763,0.0,0.93219
34.4,48.2,5.16763,0.0,0.93219
34.4,48.2,5.02204,0.0,0.93219
34.4,48.2,5.02204,0.0,0.93219
34.5,48.1,5.02204,0.0,0.93219
34.5,48.1,2.53552,0.0,0.93219
34.5,48.1,2.53552,0.0,0.93219
34.5,48.1,2.53552,0.0,0.93219
34.5,48.1,5.96707,0.0,0.93219
34.5,48.1,5.96707,0.0,0.93219
34.6,48.1,5.96707,0.0,0.93219
34.6,48.1,4.97256,0.0,0.93219
34.6,48.1,4.97256,0.0,0.93219
34.7,48.1,4.97256,0.0,0.93219
34.7,48.1,0.0,0.0,0.93219
34.7,48.1,0.0,0.27648,0.93219
34.7,48.0,0.0,0.27648,0.93219
34.7,48.0,0.0,0.27648,0.93219
34.7,48.0,0.0,0.0,0.93219
34.8,47.8,0.0,0.0,0.93219
34.8,47.8,2.98353,0.0,0.93219
34.8,47.8,2.98353,0.0,0.93219
34.9,47.7,2.98353,0.0,0.93219
34.9,47.7,4.55742,0.0,0.93219
34.9,47.7,4.55742,0.0,0.93219
35.0,47.4,4.55742,0.0,0.93219
35.0,47.4,5.44716,0.0,0.93219
35.0,47.4,5.44716,0.05184,0.93219
35.1,47.2,5.44716,0.05184,0.93219
35.1,47.2,0.0,0.05184,0.93219
35.1,47.2,0.0,0.0,0.93219
35.2,47.1,0.0,0.0,0.93219
35.2,47.1,5.16763,0.0,0.93219
35.2,47.1,5.16763,0.05184,0.93219
35.3,46.8,5.16763,0.05184,0.93219
35.3,46.8,3.78699,0.05184,0.93219
35.3,46.8,3.78699,0.06912,0.93219
